campaign_id,pair_key,case_slug,source_cluster_id,inference_seed,pair_reportable,mistral_score,qwen_score,qwen_minus_mistral
datacenter_development_terms_grounded_v1,build-quote-model-audit__seed_313001,build-quote-model-audit,sanitized_archive_datacenter_01,313001,True,0.72,0.8133333333333332,0.09333333333333327
datacenter_development_terms_grounded_v1,build-quote-model-audit__seed_313002,build-quote-model-audit,sanitized_archive_datacenter_01,313002,True,0.72,0.8133333333333332,0.09333333333333327
datacenter_development_terms_grounded_v1,build-quote-model-audit__seed_313003,build-quote-model-audit,sanitized_archive_datacenter_01,313003,True,0.72,0.8533333333333333,0.1333333333333333
datacenter_development_terms_grounded_v1,colo-quote-normalization__seed_313001,colo-quote-normalization,sanitized_archive_datacenter_01,313001,True,0.8,0.7,-0.10000000000000009
datacenter_development_terms_grounded_v1,colo-quote-normalization__seed_313002,colo-quote-normalization,sanitized_archive_datacenter_01,313002,True,0.8,0.7,-0.10000000000000009
datacenter_development_terms_grounded_v1,colo-quote-normalization__seed_313003,colo-quote-normalization,sanitized_archive_datacenter_01,313003,True,0.8,0.7,-0.10000000000000009
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__seed_313001,contract-execution-cutoffs,sanitized_archive_datacenter_01,313001,True,0.7333333333333333,0.8333333333333333,0.09999999999999998
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__seed_313002,contract-execution-cutoffs,sanitized_archive_datacenter_01,313002,True,0.7333333333333333,0.8333333333333333,0.09999999999999998
datacenter_development_terms_grounded_v1,contract-execution-cutoffs__seed_313003,contract-execution-cutoffs,sanitized_archive_datacenter_01,313003,True,0.7333333333333333,0.9,0.16666666666666674
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__seed_313001,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,313001,True,0.5833333333333333,0.8166666666666667,0.2333333333333334
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__seed_313002,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,313002,True,0.0,0.8166666666666667,0.8166666666666667
datacenter_development_terms_grounded_v1,deployment-location-power-reconciliation__seed_313003,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,313003,True,0.5833333333333333,0.8166666666666667,0.2333333333333334
