campaign_id,cell_key,pair_key,case_slug,source_cluster_id,model_id,inference_seed,schema_mode,status,inclusion_status,route_verified,replay_verified,score,hard_gate_pass,forbidden_action_count,forbidden_claim_count,input_tokens,output_tokens,reported_cost_usd,failure_class,failure_condition
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_322001,black-pearl-phased-rent-debt-and-overrun__seed_322001,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,322001,complete_indicator_maps_v1,completed,included,True,True,0.0,False,0,1,1657,758,0.00027311625,,
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_322002,black-pearl-phased-rent-debt-and-overrun__seed_322002,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,322002,complete_indicator_maps_v1,completed,included,True,True,0.0,False,0,1,1657,758,0.00027311625,,
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_322003,black-pearl-phased-rent-debt-and-overrun__seed_322003,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,322003,complete_indicator_maps_v1,completed,included,True,True,0.0,False,0,1,1657,758,0.00027311625,,
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_322001,black-pearl-phased-rent-debt-and-overrun__seed_322001,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,322001,complete_indicator_maps_v1,completed,included,True,True,0.909090909090909,True,0,0,1508,661,0.0009043056,,
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_322002,black-pearl-phased-rent-debt-and-overrun__seed_322002,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,322002,complete_indicator_maps_v1,completed,included,True,True,0.909090909090909,True,0,0,1508,661,0.0009043056,,
datacenter_development_terms_public_integrated_v5,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_322003,black-pearl-phased-rent-debt-and-overrun__seed_322003,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,322003,complete_indicator_maps_v1,completed,included,True,True,0.909090909090909,True,0,0,1508,661,0.0009043056,,
datacenter_development_terms_public_integrated_v5,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_322001,horizon-tranche-acceptance-financing-guarantees__seed_322001,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,322001,complete_indicator_maps_v1,completed,included,True,True,1.0,True,0,0,1783,879,0.00030642975,,
datacenter_development_terms_public_integrated_v5,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_322002,horizon-tranche-acceptance-financing-guarantees__seed_322002,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,322002,complete_indicator_maps_v1,completed,included,True,True,1.0,True,0,0,1783,879,0.00030642975,,
datacenter_development_terms_public_integrated_v5,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_322003,horizon-tranche-acceptance-financing-guarantees__seed_322003,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,322003,complete_indicator_maps_v1,completed,included,True,True,1.0,True,0,0,1783,879,0.00030642975,,
datacenter_development_terms_public_integrated_v5,horizon-tranche-acceptance-financing-guarantees__qwen3_235b_google__seed_322001,horizon-tranche-acceptance-financing-guarantees__seed_322001,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,qwen3_235b_google,322001,complete_indicator_maps_v1,completed,included,True,True,0.9666666666666668,True,0,0,1619,788,0.0010391238,,
