campaign_id,cell_key,pair_key,case_slug,source_cluster_id,model_id,profile_id,inference_seed,provider,requested_model,canonical_model,quantization,harness,reasoning_effort,max_action_attempts,sdk_retries,response_cache
datacenter_development_terms_grounded_glm_v1,build-quote-model-audit__glm53_reka__seed_313001,build-quote-model-audit__seed_313001,build-quote-model-audit,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313001,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,build-quote-model-audit__glm53_reka__seed_313002,build-quote-model-audit__seed_313002,build-quote-model-audit,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313002,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,build-quote-model-audit__glm53_reka__seed_313003,build-quote-model-audit__seed_313003,build-quote-model-audit,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313003,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,colo-quote-normalization__glm53_reka__seed_313001,colo-quote-normalization__seed_313001,colo-quote-normalization,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313001,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,colo-quote-normalization__glm53_reka__seed_313002,colo-quote-normalization__seed_313002,colo-quote-normalization,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313002,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,colo-quote-normalization__glm53_reka__seed_313003,colo-quote-normalization__seed_313003,colo-quote-normalization,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313003,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,contract-execution-cutoffs__glm53_reka__seed_313001,contract-execution-cutoffs__seed_313001,contract-execution-cutoffs,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313001,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,contract-execution-cutoffs__glm53_reka__seed_313002,contract-execution-cutoffs__seed_313002,contract-execution-cutoffs,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313002,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,contract-execution-cutoffs__glm53_reka__seed_313003,contract-execution-cutoffs__seed_313003,contract-execution-cutoffs,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313003,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,deployment-location-power-reconciliation__glm53_reka__seed_313001,deployment-location-power-reconciliation__seed_313001,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313001,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,deployment-location-power-reconciliation__glm53_reka__seed_313002,deployment-location-power-reconciliation__seed_313002,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313002,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
datacenter_development_terms_grounded_glm_v1,deployment-location-power-reconciliation__glm53_reka__seed_313003,deployment-location-power-reconciliation__seed_313003,deployment-location-power-reconciliation,sanitized_archive_datacenter_01,glm53_reka,datacenter_terms_grounded_glm53_reka_v1,313003,Reka,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,fp8,minimal_chat/1.0,low,1,0,False
